alert_id,alert_type,location,station_id,district,latitude,longitude,forecast_horizon,risk_score,risk_tier,alert_severity,susceptibility,rainfall_trigger_index,forecast_rainfall_mm,timestamp,status,risk_mode,disclaimer
ALT-GRID-00080,REGIONAL_GRID_CELL,"Cell COARSE_C02070 (27.190N, 88.639E)",COARSE_C02070,East Sikkim,27.19,88.639,+6h,0.6027,High,HIGH,0.9506,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00081,REGIONAL_GRID_CELL,"Cell COARSE_C02071 (27.190N, 88.640E)",COARSE_C02071,East Sikkim,27.19,88.64,+6h,0.6161,High,HIGH,0.9748,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00082,REGIONAL_GRID_CELL,"Cell COARSE_C02072 (27.190N, 88.641E)",COARSE_C02072,East Sikkim,27.19,88.641,+6h,0.6074,High,HIGH,0.959,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00083,REGIONAL_GRID_CELL,"Cell COARSE_C02217 (27.191N, 88.585E)",COARSE_C02217,East Sikkim,27.191,88.585,+6h,0.5885,High,HIGH,0.9248,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00084,REGIONAL_GRID_CELL,"Cell COARSE_C02218 (27.191N, 88.586E)",COARSE_C02218,East Sikkim,27.191,88.586,+6h,0.5584,High,HIGH,0.8703,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00085,REGIONAL_GRID_CELL,"Cell COARSE_C02223 (27.191N, 88.591E)",COARSE_C02223,East Sikkim,27.191,88.591,+6h,0.5952,High,HIGH,0.9369,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00086,REGIONAL_GRID_CELL,"Cell COARSE_C02225 (27.191N, 88.593E)",COARSE_C02225,East Sikkim,27.191,88.593,+6h,0.6133,High,HIGH,0.9697,0.26,18.0,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00087,REGIONAL_GRID_CELL,"Cell COARSE_C02234 (27.191N, 88.602E)",COARSE_C02234,East Sikkim,27.191,88.602,+6h,0.5612,High,HIGH,0.8754,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00088,REGIONAL_GRID_CELL,"Cell COARSE_C02235 (27.191N, 88.603E)",COARSE_C02235,East Sikkim,27.191,88.603,+6h,0.5773,High,HIGH,0.9045,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
ALT-GRID-00089,REGIONAL_GRID_CELL,"Cell COARSE_C02257 (27.191N, 88.625E)",COARSE_C02257,East Sikkim,27.191,88.625,+6h,0.6275,High,HIGH,0.9954,0.26,18.1,2026-09-08T18:05:43Z,ACTIVE,forecast_composite,SIMULATED / PROTOTYPE ALERT
