station_id,station_name,district,latitude,longitude,elevation_m,forecast_horizon,susceptibility_score,forecast_rainfall_period_mm,projected_rolling_24h_mm,projected_rolling_72h_mm,projected_rolling_7d_mm,rainfall_trigger_index,forecast_risk_score,risk_category,risk_mode,forecast_status
STN_04_MANGAN,Mangan - Chungthang Highway,Mangan (North Sikkim),27.502,88.534,1420.0,+24h,0.785,98.0,98.0,138.0,196.6,1.0,0.8495,Very High,forecast_composite,available
STN_04_MANGAN,Mangan - Chungthang Highway,Mangan (North Sikkim),27.502,88.534,1420.0,+48h,0.785,145.0,47.0,171.0,227.1,0.8507,0.7813,Very High,forecast_composite,available
STN_05_NAMCHI,Namchi - Jorethang Corridor,Namchi (South Sikkim),27.168,88.352,1315.0,+6h,0.64,12.0,19.5,34.9,67.0,0.3379,0.4646,Moderate,forecast_composite,available
STN_05_NAMCHI,Namchi - Jorethang Corridor,Namchi (South Sikkim),27.168,88.352,1315.0,+12h,0.64,26.0,31.0,46.8,81.0,0.4643,0.5187,Moderate,forecast_composite,available
STN_05_NAMCHI,Namchi - Jorethang Corridor,Namchi (South Sikkim),27.168,88.352,1315.0,+24h,0.64,44.0,44.0,60.7,91.1,0.5989,0.5763,High,forecast_composite,available
STN_05_NAMCHI,Namchi - Jorethang Corridor,Namchi (South Sikkim),27.168,88.352,1315.0,+48h,0.64,70.0,26.0,80.0,109.3,0.6008,0.5771,High,forecast_composite,available
STN_06_GEYZING,Geyzing - Tharpu Slope Zone,Geyzing (West Sikkim),27.142,88.18,1580.0,+6h,0.58,10.0,16.0,28.3,55.0,0.2762,0.4049,Moderate,forecast_composite,available
STN_06_GEYZING,Geyzing - Tharpu Slope Zone,Geyzing (West Sikkim),27.142,88.18,1580.0,+12h,0.58,22.0,26.0,38.7,67.0,0.3857,0.4504,Moderate,forecast_composite,available
STN_06_GEYZING,Geyzing - Tharpu Slope Zone,Geyzing (West Sikkim),27.142,88.18,1580.0,+24h,0.58,36.0,36.0,49.3,74.6,0.489,0.4934,Moderate,forecast_composite,available
STN_06_GEYZING,Geyzing - Tharpu Slope Zone,Geyzing (West Sikkim),27.142,88.18,1580.0,+48h,0.58,60.0,24.0,68.0,92.1,0.5196,0.5061,Moderate,forecast_composite,available
STN_07_SORENG,Soreng - Nayabazar Fluvial Basin,Soreng District,27.165,88.214,920.0,+6h,0.42,8.0,12.5,21.8,43.0,0.2145,0.2924,Low,forecast_composite,available
STN_07_SORENG,Soreng - Nayabazar Fluvial Basin,Soreng District,27.165,88.214,920.0,+12h,0.42,18.0,21.0,30.5,53.0,0.3071,0.3279,Low,forecast_composite,available
STN_07_SORENG,Soreng - Nayabazar Fluvial Basin,Soreng District,27.165,88.214,920.0,+24h,0.42,30.0,30.0,40.0,60.0,0.4,0.3636,Moderate,forecast_composite,available
STN_07_SORENG,Soreng - Nayabazar Fluvial Basin,Soreng District,27.165,88.214,920.0,+48h,0.42,50.0,20.0,56.0,75.0,0.4277,0.3742,Moderate,forecast_composite,available
STN_08_OFFLINE,Upper Lachen Remote Sensor Node (Telemetry Offline),Mangan (North Sikkim),27.712,88.552,2750.0,+6h,0.71,,,,,,0.71,High,static_baseline_only,unavailable
STN_08_OFFLINE,Upper Lachen Remote Sensor Node (Telemetry Offline),Mangan (North Sikkim),27.712,88.552,2750.0,+12h,0.71,,,,,,0.71,High,static_baseline_only,unavailable
STN_08_OFFLINE,Upper Lachen Remote Sensor Node (Telemetry Offline),Mangan (North Sikkim),27.712,88.552,2750.0,+24h,0.71,,,,,,0.71,High,static_baseline_only,unavailable
STN_08_OFFLINE,Upper Lachen Remote Sensor Node (Telemetry Offline),Mangan (North Sikkim),27.712,88.552,2750.0,+48h,0.71,,,,,,0.71,High,static_baseline_only,unavailable
